,Gene.name,First.Protein.Description,Intensity.M_1,Intensity.M_2,Intensity.M_3,Intensity.2D_1,Intensity.2D_2,Intensity.2D_3
5059,MYO5A,Myosin VA,1590000,1980000,1500000,2270000,2740000,1640000
5060,MYO5A,Myosin VC,0,0,0,0,0,0
5061,MYO5A,Unconventional myosin-Vb,5170000,2480000,3160000,0,1100000,561000
5062,MYO5A,Unconventional myosin-Vb,1990000,1770000,621000,821000,803000,120000
5063,MYO5B,Unconventional myosin-Vb,3950000,3650000,2690000,0,227000,0
5064,MYO5C,Myosin VC,795000,891000,671000,0,0,0
5065,MYO6,Unconventional myosin-VI,1610000,921000,0,134000,354000,0
5066,MYO6,Unconventional myosin-VI,16200000,16100000,9570000,7850000,8210000,5690000
5067,MYO6,Unconventional myosin-VI,3620000,3300000,264000,915000,1390000,1410000
5068,MYO9A,Myosin IXA,274000,289000,0,0,568000,0
5069,MYO9A,Myosin IXA,665000,1190000,0,4210000,4020000,3660000
5070,MYO9B,Myosin IXB,8.00E+05,812000,952000,2590000,3060000,2280000
5071,MYO9B,Myosin IXB,118000,0,0,576000,736000,374000
5072,MYOF,Myoferlin,2.90E+07,33600000,55300000,44900000,42500000,4.90E+07
5073,MYOM1,Myomesin 1,0,0,0,0,0,0
5074,MYORG,Myogenesis regulating glycosidase (putative),0,0,0,353000,187000,265000
5075,MYRF,Myelin regulatory factor,0,0,0,0,0,78300
5076,MYT1L,Myelin transcription factor 1 like,0,0,0,0,0,0
5077,MZT2B,Mitotic-spindle organizing protein 2B,237000,225000,354000,685000,455000,397000
5078,N4BP1,NEDD4 binding protein 1,680000,0,0,254000,287000,0
5079,NAA15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",1280000,1960000,2180000,3230000,4020000,2630000
5080,NAA15,"N-alpha-acetyltransferase 16, NatA auxiliary subunit",1130000,1460000,1230000,2990000,3740000,2180000
5081,NAA16,"N-alpha-acetyltransferase 16, NatA auxiliary subunit",0,0,0,0,382000,0
5082,NAA20,"N-alpha-acetyltransferase 20, NatB catalytic subunit",173000,2.00E+05,0,324000,337000,229000
5083,NAA25,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",499000,591000,559000,1350000,1130000,1200000
5084,NAA30,"N-alpha-acetyltransferase 30, NatC catalytic subunit",243000,506000,0,632000,865000,743000
5085,NAA35,"N-alpha-acetyltransferase 35, NatC auxiliary subunit",274000,463000,572000,787000,1150000,662000
5086,NAA40,N-alpha-acetyltransferase 40,330000,4.00E+05,0,550000,741000,415000
5087,NAA50,"N-alpha-acetyltransferase 50, NatE catalytic subunit",0,0,0,0,365000,0
5088,NAA50,"N-alpha-acetyltransferase 50, NatE catalytic subunit",495000,605000,0,734000,694000,642000
5089,NAA50,"N-alpha-acetyltransferase 50, NatE catalytic subunit",1520000,1280000,3400000,3200000,2510000,1930000
5090,NACA,Nascent polypeptide associated complex subunit alpha,2370000,2030000,4280000,2720000,3870000,2690000
5091,NACC1,Nucleus accumbens associated 1,0,205000,0,0,0,0
5092,NADK,NAD(+) kinase,0,0,393000,0,0,0
5093,NADK2,"NAD kinase 2, mitochondrial",0,0,0,0,0,0
5094,NADK2,NAD(+) kinase,0,410000,884000,0,0,0
5095,NADSYN1,NAD synthetase 1,224000,293000,654000,478000,789000,663000
5096,NAE1,NEDD8-activating enzyme E1 regulatory subunit,1120000,728000,1090000,1750000,2230000,1820000
5097,NAF1,H/ACA ribonucleoprotein complex non-core subunit NAF1,0,0,0,341000,185000,0
5098,NAGA,Alpha-galactosidase,1060000,0,4380000,4700000,2940000,5380000
5099,NAGK,N-acetyl-D-glucosamine kinase,244000,196000,146000,0,0,0
5100,NAGK,N-acetyl-D-glucosamine kinase,2980000,2960000,3370000,4430000,4550000,2780000
5101,NAGK,Uncharacterized protein,0,0,0,0,0,0
5102,NAGLU,N-acetyl-alpha-glucosaminidase,1830000,3130000,9700000,13300000,7860000,1.40E+07
5103,NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,270000,230000,439000,770000,128000,256000
5104,NAMPT,Nicotinamide phosphoribosyltransferase,3350000,4.00E+06,3590000,4490000,4820000,3330000
5105,NANP,N-acetylneuraminic acid phosphatase,159000,0,0,0,0,54000
5106,NANS,N-acetylneuraminate synthase,3090000,2860000,3440000,5990000,5420000,4460000
5107,NAP1L1,Nucleosome assembly protein 1 like 1,3880000,4640000,3260000,1.20E+07,13400000,10300000
5108,NAP1L1,Nucleosome assembly protein 1 like 1,4540000,4.00E+06,6910000,7100000,9900000,9290000
5109,NAP1L1,Nucleosome assembly protein 1 like 1,129000,86200,0,0,0,0
5110,NAP1L1,Nucleosome assembly protein 1 like 1,563000,1050000,0,1830000,1500000,1390000
5111,NAP1L4,Nucleosome assembly protein 1 like 4,5630000,5210000,0,9880000,1.20E+07,8710000
5112,NAPA,NSF attachment protein alpha,19500000,16700000,21500000,12800000,11900000,15700000
5113,NAPEPLD,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D,176000,142000,0,168000,268000,263000
5114,NAPG,NSF attachment protein gamma,16900000,16300000,1.50E+07,9140000,8670000,10200000
5115,NAPRT,Nicotinate phosphoribosyltransferase,5650000,4530000,6530000,2950000,1790000,2500000
5116,NARF,Nuclear prelamin A recognition factor,0,0,0,0,62200,0
5117,NARS1,Asparagine--tRNA ligase,5300000,5140000,11100000,10400000,1.50E+07,9690000
5118,NARS2,Asparagine--tRNA ligase,0,0,0,0,0,0
5119,NARS2,Uncharacterized protein,0,0,0,654000,84000,363000
5120,NASP,Aldo-keto reductase family 1 member A1,9130000,8790000,1.10E+07,8460000,8850000,11200000
5121,NASP,Aldo-keto reductase family 1 member A1,14600000,13900000,15400000,15200000,1.50E+07,17200000
5122,NASP,Nuclear autoantigenic sperm protein,1040000,1220000,1220000,1100000,1350000,846000
5123,NAT10,RNA cytidine acetyltransferase,635000,561000,0,530000,611000,0
5124,NAT14,N-acetyltransferase 14 (putative),0,0,0,165000,171000,0
5125,NAT9,N-acetyltransferase 9 (putative),88700,0,0,0,0,0
5126,NATD1,Protein NATD1,356000,0,0,0,0,0
5127,NAV1,Neuron navigator 1,649000,0,0,858000,1020000,767000
5128,NAV1,Neuron navigator 1,0,0,0,484000,463000,729000
5129,NAV2,Neuron navigator 2,943000,1230000,1800000,578000,560000,466000
5130,NAV2,Neuron navigator 2,373000,639000,0,834000,448000,417000
5131,NAV3,Neuron navigator 3,0,0,0,571000,614000,677000
5132,NAXD,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,953000,941000,706000,1550000,1370000,1150000
5133,NAXE,NAD(P)H-hydrate epimerase,8550000,7450000,13300000,1820000,1710000,2180000
5134,NBAS,NBAS subunit of NRZ tethering complex,217000,198000,0,508000,760000,721000
5135,NBEA,Neurobeachin,0,0,0,0,0,0
5136,NBEAL1,Neurobeachin like 1,499000,419000,4.00E+05,1020000,1200000,905000
5137,NBEAL2,Neurobeachin like 2,324000,474000,276000,0,0,0
5138,NBN,Nibrin,0,0,0,0,0,0
5139,NBR1,NBR1 autophagy cargo receptor,0,0,0,79200,158000,0
5140,NBR1,NBR1 autophagy cargo receptor,0,61400,0,258000,453000,0
5141,NCALD,Neurocalcin delta,214000,141000,0,1440000,1320000,1680000
5142,NCAPD2,Condensin complex subunit 1,298000,530000,0,0,435000,171000
5143,NCAPG,Non-SMC condensin I complex subunit G,383000,266000,0,483000,651000,0
5144,NCAPG2,Non-SMC condensin II complex subunit G2,0,0,0,0,0,0
5145,NCAPH,Condensin complex subunit 2,136000,254000,336000,0,116000,0
5146,NCBP1,Nuclear cap binding protein subunit 1,1320000,1020000,1340000,2110000,2030000,1790000
5147,NCBP2,Uncharacterized protein,455000,0,873000,378000,528000,0
5148,NCDN,Neurochondrin,1530000,799000,0,2260000,3070000,2340000
5149,NCEH1,Neutral cholesterol ester hydrolase 1,0,0,0,454000,7.00E+05,422000
5150,NCF1,RCC1 like,0,0,0,0,0,0
5151,NCK1,Cytoplasmic protein,2130000,3250000,0,3250000,2330000,4210000
5152,NCK1,Cytoplasmic protein,10700000,15200000,16700000,11100000,9780000,15300000
5153,NCK1,NCK adaptor protein 1,198000,0,0,0,0,0
5154,NCK1,NCK adaptor protein 1,3360000,4570000,4340000,2710000,2630000,3080000
5155,NCK2,Cytoplasmic protein,2590000,4010000,3930000,5800000,5810000,6870000
5156,NCKAP1,NCK associated protein 1,41500000,56600000,4.00E+07,36800000,3.70E+07,40200000
5157,NCKAP5,NCK associated protein 5,0,360000,0,168000,651000,0
5158,NCKAP5L,NCK associated protein 5 like,0,0,0,557000,0,0
5159,NCKIPSD,NCK interacting protein with SH3 domain,2530000,2240000,1370000,1720000,2310000,1720000
5160,NCL,Nucleolin,2720000,5710000,5190000,3590000,3440000,2080000
5161,NCLN,Nicalin,950000,661000,0,1410000,2400000,0
5162,NCOA2,Nuclear receptor coactivator,0,0,0,0,0,0
5163,NCOA5,Nuclear receptor coactivator 5,0,0,0,212000,252000,0
5164,NCOA7,Nuclear receptor coactivator 7,0,43900,0,0,116000,0
5165,NCOR2,Nuclear receptor corepressor 2,0,0,0,0,0,0
5166,NCR3LG1,Natural killer cell cytotoxicity receptor 3 ligand 1,2710000,3020000,2330000,3490000,4410000,7210000
5167,NCS1,Neuronal calcium sensor 1,1700000,980000,685000,2170000,1270000,2670000
5168,NCSTN,Nicastrin,1.08E+08,1.36E+08,1.22E+08,40600000,33500000,51500000
5169,NDC1,Nucleoporin NDC1,0,0,0,217000,1040000,0
5170,NDC80,Kinetochore protein NDC80,110000,42600,0,0,0,0
5171,NDE1,Nuclear distribution protein nudE-like 1,513000,599000,499000,516000,362000,604000
5172,NDE1,NudE neurodevelopment protein 1,139000,82500,0,158000,0,0
5173,NDEL1,Nuclear distribution protein nudE-like 1,263000,0,0,617000,555000,407000
5174,NDFIP1,Nedd4 family interacting protein 1,434000,802000,0,781000,1960000,747000
5175,NDFIP2,Nedd4 family interacting protein 2,3650000,4400000,2050000,1200000,1930000,1440000
5176,NDNF,Protein NDNF,0,0,0,0,962000,0
5177,NDOR1,NADPH dependent diflavin oxidoreductase 1,222000,319000,48400,0,715000,406000
5178,NDRG1,N-myc downstream regulated 1,47100000,26200000,56800000,12200000,15300000,12300000
5179,NDRG1,Protein NDRG1,1.80E+07,19200000,30100000,16400000,13600000,16100000
5180,NDRG1,Protein NDRG1,95300000,7.40E+07,1.01E+08,54700000,62700000,59500000
5181,NDRG2,Protein NDRG2,647000,533000,1080000,2400000,1690000,2580000
5182,NDRG3,NDRG family member 3,2960000,3440000,5270000,13100000,17600000,13500000
5183,NDRG4,NDRG family member 4,0,0,0,1390000,894000,1250000
5184,NDRG4,NDRG family member 4,0,0,0,780000,1010000,0
5185,NDST2,[Heparan sulfate]-glucosamine N-sulfotransferase,0,0,0,0,0,0
5186,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",0,0,0,0,0,0
5187,NDUFA11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,0,0,0,0,710000,0
5188,NDUFA12,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,0,0,0,0,222000,0
5189,NDUFA13,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,0,0,0,238000,611000,0
5190,NDUFA2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,0,0,0,0,528000,0
5191,NDUFA5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,0,0,0,0,0,0
5192,NDUFA6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,0,0,0,0,0,0
5193,NDUFA7,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,0,0,0,0,0,0
5194,NDUFA8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,0,622000,0,0,593000,0
5195,NDUFA9,NADH:ubiquinone oxidoreductase subunit A9,0,0,0,0,520000,0
5196,NDUFAB1,Acyl carrier protein,0,0,0,0,0,0
5197,NDUFAF1,"Complex I intermediate-associated protein 30, mitochondrial",0,0,0,0,0,0
5198,NDUFAF3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3,0,0,0,0,0,0
5199,NDUFAF4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,0,0,0,0,0,0
5200,NDUFAF5,NADH:ubiquinone oxidoreductase complex assembly factor 5,0,0,0,0,0,0
5201,NDUFAF7,"Protein arginine methyltransferase NDUFAF7, mitochondrial",0,0,0,0,0,0
5202,NDUFB1,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,0,0,0,0,0,0
5203,NDUFB10,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,0,79300,0,328000,545000,0
5204,NDUFB11,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",0,0,0,0,596000,0
5205,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,0,0,0,0,440000,0
5206,NDUFB4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,0,0,0,0,725000,0
5207,NDUFB5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",0,0,0,0,618000,0
5208,NDUFB6,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,0,0,0,0,0,0
5209,NDUFB7,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,262000,0,0,0,231000,0
5210,NDUFB8,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",0,0,0,0,0,0
5211,NDUFB8,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",0,0,0,0,0,0
5212,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9,0,0,0,0,486000,0
5213,NDUFC2,NADH dehydrogenase [ubiquinone] 1 subunit C2,0,0,0,0,639000,0
5214,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",0,0,0,786000,1480000,0
5215,NDUFS2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",0,0,0,0,660000,0
5216,NDUFS3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",0,0,0,0,667000,0
5217,NDUFS5,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,0,0,0,0,0,0
5218,NDUFS6,zf-CHCC domain-containing protein,0,0,0,0,0,0
5219,NDUFS7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",0,73700,0,0,903000,0
5220,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",0,0,0,0,486000,0
5221,NDUFV1,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",0,0,0,0,670000,0
5222,NDUFV2,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",0,0,0,0,397000,0
5223,NECAP1,NECAP endocytosis associated 1,188000,52900,611000,0,0,1030000
5224,NECAP2,NECAP endocytosis associated 2,1930000,2340000,0,1800000,3410000,1770000
5225,NECAP2,NECAP endocytosis associated 2,964000,1260000,0,1070000,1620000,1280000
5226,NECTIN1,Nectin cell adhesion molecule 1,518000,626000,0,1750000,1320000,3340000
5227,NECTIN2,Nectin cell adhesion molecule 2,2360000,2800000,1420000,739000,840000,1390000
5228,NECTIN2,Nectin cell adhesion molecule 2,6830000,5370000,7930000,11400000,10200000,19500000
5229,NECTIN2,Nectin cell adhesion molecule 2,223000,280000,0,221000,194000,418000
5230,NECTIN3,Nectin cell adhesion molecule 3,628000,304000,667000,2100000,1440000,2470000
5231,NECTIN4,Nectin 4,1960000,2320000,1560000,0,0,0
5232,NEDD1,NEDD1 gamma-tubulin ring complex targeting factor,362000,0,577000,953000,1210000,0
5233,NEDD4,E3 ubiquitin-protein ligase,708000,841000,911000,1510000,1260000,2860000
5234,NEDD4,HECT-type E3 ubiquitin transferase,3150000,4400000,2990000,0,2320000,3450000
5235,NEDD4,HECT-type E3 ubiquitin transferase,7800000,7010000,0,6900000,4890000,10500000
5236,NEDD4,HECT-type E3 ubiquitin transferase,1250000,1740000,1030000,2860000,1690000,3200000
5237,NEDD4L,HECT-type E3 ubiquitin transferase,1.20E+07,14500000,7780000,7370000,6210000,12900000
5238,NEDD4L,NEDD4 like E3 ubiquitin protein ligase,4410000,3530000,0,452000,1260000,2570000
5239,NEDD8,NEDD8,4590000,5260000,5460000,4850000,3220000,5680000
5240,NEGR1,Neuronal growth regulator 1,0,0,0,2290000,3320000,4310000
5241,NEK1,NIMA related kinase 1,0,0,0,173000,0,132000
5242,NEK10,NIMA related kinase 10,0,0,0,1050000,190000,0
5243,NEK6,NIMA related kinase 6,2830000,2270000,2840000,6120000,5310000,4310000
5244,NEK6,NIMA related kinase 6,95400,0,0,0,103000,0
5245,NEK7,NIMA related kinase 7,1500000,1640000,1270000,2430000,3190000,2730000
5246,NEK8,NIMA related kinase 8,1450000,1700000,1050000,446000,0,0
5247,NEK9,NIMA related kinase 9,741000,762000,1090000,2690000,3120000,1790000
5248,NELFA,Negative elongation factor complex member A,0,0,0,0,0,0
5249,NELFB,Negative elongation factor B,121000,138000,0,0,375000,641000
5250,NELFCD,Negative elongation factor complex member C/D,0,0,0,0,260000,0
5251,NEMF,Nuclear export mediator factor,416000,614000,0,1010000,956000,0
5252,NENF,Neudesin neurotrophic factor,0,0,0,0,0,0
5253,NEO1,Neogenin 1,411000,408000,1250000,433000,263000,584000
5254,NES,Nestin,0,0,0,183000,0,0
5255,NEU1,Exo-alpha-sialidase,142000,0,0,0,0,0
5256,NEU3,Exo-alpha-sialidase,503000,737000,346000,546000,380000,541000
5257,NEU4,Neuraminidase 4,807000,732000,943000,0,0,0
5258,NEURL3,Neuralized E3 ubiquitin protein ligase 3,385000,0,0,0,0,0
5259,NF1,Neurofibromin 1,3530000,4120000,2800000,8310000,8570000,8430000
5260,NF2,Neurofibromin 2,5450000,8020000,6090000,2950000,2670000,3060000
5261,NFAT5,Nuclear factor of activated T cells 5,0,0,0,0,33800,0
5262,NFATC2,Nuclear factor of activated T cells 2,0,0,0,302000,0,0
5263,NFATC2IP,Nuclear factor of activated T cells 2 interacting protein,0,0,0,0,0,0
5264,NFATC4,Nuclear factor of activated T cells 4,0,0,0,0,0,0
5265,NFIB,Nuclear factor 1,309000,469000,229000,431000,949000,0
5266,NFIB,Nuclear factor 1,0,0,0,0,0,0
5267,NFIC,Nuclear factor 1,0,0,0,0,0,0
5268,NFKB1,Nuclear factor NF-kappa-B p105 subunit,915000,831000,1300000,1430000,1300000,1440000
5269,NFKB2,Nuclear factor kappa B subunit 2,763000,703000,0,1820000,1970000,1210000
5270,NFKBIB,NFKB inhibitor beta,409000,419000,633000,1600000,2100000,919000
5271,NFKBID,NFKB inhibitor delta,0,0,0,0,0,0
5272,NFKBIE,NFKB inhibitor epsilon,0,0,0,0,0,0
5273,NFS1,"Cysteine desulfurase, mitochondrial",0,0,0,0,445000,4190000
5274,NFU1,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial",0,0,0,0,0,0
5275,NFX1,"Nuclear transcription factor, X-box binding 1",0,0,0,0,0,0
5276,NFXL1,"Nuclear transcription factor, X-box binding like 1",194000,136000,317000,0,0,0
5277,NGDN,Neuroguidin,0,0,0,0,196000,0
5278,NGEF,Neuronal guanine nucleotide exchange factor,0,0,0,0,0,0
5279,NGLY1,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,187000,0,0,1060000,755000,0
5280,NHEJ1,Non-homologous end joining factor 1,98600,41800,0,0,0,334000
5281,NHLRC2,NHL repeat containing 2,1220000,1130000,0,1560000,1600000,1280000
5282,NHLRC3,NHL repeat containing 3,277000,0,1090000,0,0,0
5283,NHP2,Ribonucloprotein,408000,78700,0,0,258000,0
5284,NHS,NHS actin remodeling regulator,5430000,5020000,3870000,2610000,2630000,3490000
5285,NHSL1,NHS like 1,4470000,3990000,4180000,10300000,10300000,14600000
5286,NIBAN2,Niban apoptosis regulator 2,67200000,75700000,50300000,1.17E+08,1.30E+08,1.24E+08
5287,NID1,Nidogen 1,0,0,280000,0,0,0
5288,NID1,Nidogen 2,0,0,0,0,176000,0
5289,NID2,Nidogen 2,0,0,0,0,637000,0
5290,NIF3L1,NIF3-like protein 1,859000,789000,1240000,2020000,1650000,1930000
5291,NIFK,Nucleolar protein interacting with the FHA domain of MKI67,548000,617000,0,0,675000,435000
5292,NINJ1,Ninjurin 1,173000,289000,458000,465000,404000,911000
5293,NINL,Ninein like,0,0,0,0,0,0
5294,NIP7,60S ribosome subunit biogenesis protein NIP7 homolog,46600,69200,0,0,0,0
5295,NIPAL1,NIPA like domain containing 1,594000,702000,583000,135000,112000,0
5296,NIPAL3,NIPA like domain containing 3,0,0,149000,0,0,0
5297,NIPBL,Nipped-B protein,170000,0,173000,0,0,0
5298,NIPSNAP1,Nipsnap homolog 1,0,0,0,0,895000,0
5299,NIPSNAP2,Nipsnap homolog 2,0,0,0,937000,1280000,581000
5300,NISCH,Nischarin,141000,265000,788000,931000,833000,5.00E+05
5301,NIT1,Nitrilase 1,2520000,1680000,1190000,5420000,3940000,4250000
5302,NIT2,Nitrilase family member 2,4110000,3170000,7640000,2250000,1360000,2430000
5303,NKIRAS2,NFKB inhibitor interacting Ras like 2,802000,824000,392000,1400000,1420000,1230000
5304,NKRF,NFKB repressing factor,0,0,0,0,0,0
5305,NLE1,Notchless protein homolog 1,1320000,1470000,1160000,1720000,2460000,1500000
5306,NLGN2,Neuroligin 2,0,0,0,0,245000,0
5307,NLRX1,NLR family member X1,0,0,0,0,470000,0
5308,NLRX1,NLR family member X1,0,0,0,0,0,0
5309,NMD3,60S ribosomal export protein NMD3,320000,455000,0,429000,523000,0
5310,NME1,Nucleoside diphosphate kinase A,29300000,31900000,82300000,44600000,32600000,39900000
5311,NME1,Nucleoside diphosphate kinase B,83700000,9.30E+07,1.44E+08,1.83E+08,1.12E+08,1.41E+08
5312,NME2,Nucleoside diphosphate kinase B,22800000,20500000,39400000,42100000,28300000,41400000
5313,NME4,Nucleoside diphosphate kinase,429000,688000,614000,527000,413000,714000
5314,NME6,Nucleoside diphosphate kinase,0,0,0,0,0,0
5315,NME7,Nucleoside diphosphate kinase 7,697000,1140000,190000,0,1850000,0
5316,NMI,N-myc and STAT interactor,427000,471000,0,703000,889000,6.00E+05
5317,NMNAT1,Nicotinamide-nucleotide adenylyltransferase,0,0,99100,0,338000,0
5318,NMRAL1,NmrA like redox sensor 1,1.10E+07,11100000,8220000,7090000,7300000,5790000
5319,NMT1,Glycylpeptide N-tetradecanoyltransferase,1590000,476000,252000,1300000,2310000,836000
5320,NMT1,Glycylpeptide N-tetradecanoyltransferase,2070000,1840000,1060000,4820000,5520000,3480000
5321,NMT2,Glycylpeptide N-tetradecanoyltransferase,0,0,0,0,452000,0
5322,NNT,Proton-translocating NAD(P)(+) transhydrogenase,0,0,0,705000,1470000,705000
5323,NOA1,Nitric oxide associated 1,0,0,0,0,0,0
5324,NOB1,RNA-binding protein NOB1,69800,0,0,1160000,1150000,567000
5325,NOC2L,Nucleolar complex protein 2 homolog,76500,117000,0,0,162000,0
5326,NOC3L,Nucleolar complex protein 3 homolog,0,0,0,0,0,0
5327,NOC4L,Nucleolar complex associated 4 homolog,0,0,0,0,0,0
5328,NOCT,Nocturnin,0,455000,0,0,431000,141000
5329,NOD1,Nucleotide binding oligomerization domain containing 1,3760000,5070000,4910000,4410000,4030000,4780000
5330,NOL10,Nucleolar protein 10,0,0,0,0,0,0
5331,NOL11,Nucleolar protein 11,103000,79700,0,0,420000,0
5332,NOL6,Nucleolar protein 6,0,0,0,0,155000,0
5333,NOL7,"NAD-dependent protein deacylase sirtuin-5, mitochondrial",721000,478000,0,145000,398000,123000
5334,NOL8,Nucleolar protein 8,0,0,0,0,0,0
5335,NOL9,Nucleolar protein 9,0,0,0,0,225000,0
5336,NOLC1,Nucleolar and coiled-body phosphoprotein 1,0,1610000,0,0,191000,0
5337,NONO,Non-POU domain containing octamer binding,5540000,6200000,5530000,6510000,11600000,6960000
5338,NONO,"Splicing factor, proline-and glutamine-rich",5660000,6650000,9040000,266000,4740000,898000
5339,NOP10,Uncharacterized protein,159000,155000,126000,0,138000,0
5340,NOP14,NOP14 nucleolar protein,1460000,2460000,0,1040000,7230000,3630000
5341,NOP2,NOP2 nucleolar protein,325000,203000,0,42900,282000,134000
5342,NOP56,NOP56 ribonucleoprotein,1030000,1950000,1410000,1690000,1770000,1120000
5343,NOP58,NOP58 ribonucleoprotein,915000,1560000,875000,898000,1190000,795000
5344,NOP9,NOP9 nucleolar protein,0,0,0,0,0,0
5345,NOSIP,Nitric oxide synthase-interacting protein,260000,0,0,0,792000,0
5346,NOTCH1,Neurogenic locus notch homolog protein 1,2860000,0,0,7660000,5860000,11600000
5347,NOTCH1,Neurogenic locus notch homolog protein 1,0,0,0,1690000,0,2760000
5348,NOTCH1,Neurogenic locus notch homolog protein 1,1510000,1510000,3350000,1780000,1410000,2350000
5349,NOTCH1,Neurogenic locus notch homolog protein 1,562000,1740000,815000,172000,127000,188000
5350,NOTCH2,Notch receptor 2,2070000,2220000,810000,4360000,4350000,5870000
5351,NOTCH3,Notch receptor 3,890000,691000,1120000,2180000,1800000,3.00E+06
5352,NOTUM,"Notum, palmitoleoyl-protein carboxylesterase",0,0,0,0,55700,0
5353,NOVA2,NOVA alternative splicing regulator 2,0,0,0,176000,301000,0
5354,NOXA1,NADPH oxidase activator 1,1010000,604000,294000,0,0,0
5355,NPC1,NPC intracellular cholesterol transporter 1,7010000,9640000,1.60E+07,25400000,17700000,2.90E+07
5356,NPC1L1,NPC1 like intracellular cholesterol transporter 1,1.93E+08,2.11E+08,1.34E+08,9550000,7640000,10600000
5357,NPC2,NPC intracellular cholesterol transporter 2,2.00E+06,630000,8910000,371000,417000,587000
5358,NPEPL1,Aminopeptidase like 1,0,0,0,1420000,663000,906000
5359,NPEPPS,Aminopeptidase,11300000,12600000,15300000,29300000,24500000,24300000
5360,NPHP1,Nephrocystin-1,241000,213000,0,0,0,0
5361,NPHP1,Nephrocystin-1 (Fragment),908000,986000,795000,195000,349000,402000
5362,NPHP3,Nephrocystin 3,382000,455000,0,0,434000,0
5363,NPHP4,Nephrocystin 4,589000,746000,437000,566000,167000,0
5364,NPLOC4,"NPL4 homolog, ubiquitin recognition factor",1830000,1760000,1650000,4680000,4850000,3610000
5365,NPM1,Nucleophosmin,2520000,5130000,8380000,1620000,2690000,1380000
5366,NPM3,Nucleophosmin/nucleoplasmin 3,308000,747000,0,562000,680000,0
5367,NPNT,Nephronectin,0,0,77300,0,0,0
5368,NPNT,Nephronectin,746000,1770000,2410000,761000,231000,0
5369,NPNT,Nephronectin,0,0,0,0,0,0
5370,NPR1,Guanylate cyclase,129000,172000,0,0,0,0
5371,NPRL2,"NPR2 like, GATOR1 complex subunit",0,0,0,0,132000,0
5372,NPRL3,GATOR complex protein NPRL3,0,0,0,0,0,0
5373,NPTN,Neuroplastin,24100000,21300000,48600000,58200000,5.50E+07,67900000
5374,NQO1,NAD(P)H quinone dehydrogenase 1,1.75E+08,2.01E+08,43300000,1.77E+08,1.85E+08,2.21E+08
5375,NQO1,NAD(P)H quinone dehydrogenase 1,2.02E+08,2.76E+08,3.28E+08,2.89E+08,2.50E+08,3.03E+08
5376,NQO1,NAD(P)H quinone dehydrogenase 1,405000,634000,162000,886000,679000,681000
5377,NQO2,N-ribosyldihydronicotinamide:quinone reductase 2,3370000,2640000,2860000,3440000,2290000,3660000
5378,NR2C2AP,Nuclear receptor 2C2 associated protein,824000,832000,412000,508000,894000,430000
